transaction_id,account_id,timestamp,amount,merchant_category,city,is_unusual_city,is_odd_hour
9afa8267-4479-4214-b5de-f8074a965478,ACC01235,2026-06-20 21:12:31.815241,163409.04,Electronics,Bangalore,0,0
1fd37318-da16-4df4-833f-ab781f75e552,ACC00506,2026-06-20 11:30:12.815241,159005.84,Online Retail,Bangalore,0,0
9c1f9af2-b921-4281-9d4c-8aea8fb13988,ACC01225,2026-06-20 18:06:52.815241,156105.54,Utilities,Chennai,0,0
a1b0511a-ef87-4846-9d50-f0982e2f2252,ACC00373,2026-06-20 16:30:48.815241,155325.38,Electronics,Kolkata,0,0
b2cc4372-6532-43ae-96f7-91ac4cf6a297,ACC01880,2026-06-20 09:57:52.815241,122991.17,ATM Withdrawal,Pune,0,0
2ca04b59-8440-4a46-8bf2-710669bd869f,ACC00601,2026-06-20 21:57:41.815241,122817.97,Online Retail,Bangalore,0,0
9abcf128-fd83-4b1f-94bb-5011e155382c,ACC01923,2026-06-20 13:01:42.815241,120583.25,Utilities,Bangalore,0,0
74047d99-35f0-4daa-867a-0677eddbbf50,ACC01474,2026-06-20 15:22:36.815241,118054.15,ATM Withdrawal,Delhi,0,0
a67c1311-435d-4233-99e2-29a16d1a9231,ACC00970,2026-06-20 11:31:00.815241,116977.32,Utilities,Kolkata,0,0
4e8fa241-45f0-4409-a955-3dcbee5c9916,ACC01214,2026-06-20 12:51:48.815241,116029.18,Electronics,Bangalore,0,0
ad2d211e-95b8-42e0-a246-5b46718387b5,ACC00548,2026-06-20 10:54:44.815241,114416.4,Entertainment,Hyderabad,0,0
2a257ecc-75fd-4d83-9264-43bac298823a,ACC00242,2026-06-20 21:24:42.815241,113371.29,Healthcare,Kolkata,0,0
f6cfdcf0-72f8-4c9d-bbce-f4ee01021bd2,ACC01225,2026-06-20 20:01:47.815241,112385.54,Fuel,Chennai,0,0
5a29ae07-84f3-4017-93a4-d9875fdddbd1,ACC01277,2026-06-20 18:37:14.815241,109945.52,Online Retail,Hyderabad,0,0
5010c6dc-86c0-4451-bbae-0ac12a3e077c,ACC01852,2026-06-20 15:52:50.815241,108321.88,Electronics,Bangalore,0,0
6b2afb3a-1b38-41ad-8b21-cf12a284598a,ACC01461,2026-06-20 20:28:22.815241,108150.34,Dining,Hyderabad,0,0
2b99d124-dcaf-4a81-8bec-22ae888a037b,ACC00841,2026-06-20 10:38:42.815241,104583.61,Grocery,Chennai,0,0
a55a8075-f3fc-468a-8638-531d79723d6e,ACC00107,2026-06-20 21:30:41.815241,104082.65,Travel,Pune,0,0
b87617ce-67ff-4433-97c8-16f89c48b195,ACC01947,2026-06-20 21:25:46.815241,102890.55,Utilities,Mumbai,0,0
0d166103-d1ab-4253-9208-f9bb6a16ffdf,ACC00431,2026-06-20 14:59:25.815241,100037.23,Entertainment,Pune,0,0
c9390349-5b3f-4a7d-be36-16ae840dced5,ACC01112,2026-06-20 12:46:34.815241,97059.84,Travel,Delhi,0,0
3ded0f8f-02f2-4afa-920a-30a5a92d19bc,ACC00836,2026-06-20 13:56:28.815241,96908.77,Healthcare,Chennai,0,0
7db678d9-d2cf-4fba-bc96-f74013d1d022,ACC00285,2026-06-20 12:47:00.815241,96119.81,Online Retail,Mumbai,0,0
20fc28ed-9ded-496b-a85a-a0cfa85832eb,ACC01777,2026-06-20 22:22:50.815241,96081.3,Entertainment,Mumbai,0,0
5191cd6a-0ab5-4dac-9d32-3961f1a43bbd,ACC00522,2026-06-20 14:46:54.815241,95024.56,Fuel,Bangalore,0,0
19d0cc8d-38be-42c8-99b7-8f1ca8e4bedd,ACC01909,2026-06-20 11:59:20.815241,94595.3,Grocery,Chennai,0,0
b18315ab-745d-45b8-a9f0-0f7afe530e40,ACC01922,2026-06-20 10:58:28.815241,93435.66,Electronics,Hyderabad,0,0
107380cb-46d9-434d-9feb-21c760b2d14b,ACC01957,2026-06-20 22:58:52.815241,92488.14,Online Retail,Bangalore,0,0
899fad03-ebd2-4573-a012-a24e3c168418,ACC01881,2026-06-20 15:45:08.815241,89447.06,Travel,Bangalore,0,0
ababb6d2-f8e4-4a98-bfe0-328476906519,ACC01641,2026-06-20 15:39:24.815241,88202.54,Entertainment,Hyderabad,0,0
5e6fea07-c453-4f1d-8199-2fdfb31022f0,ACC01092,2026-06-20 11:45:52.815241,87746.54,Healthcare,Hyderabad,0,0
8ec5c913-3c39-4527-b36a-2e9b825de71c,ACC01427,2026-06-20 14:45:51.815241,86245.97,Fuel,Mumbai,0,0
67299293-5615-4253-9a54-49a5db2a05e9,ACC00374,2026-06-20 12:26:43.815241,83847.51,Travel,Chennai,0,0
76850197-e196-483e-b93a-cfb28eb9e907,ACC00986,2026-06-20 15:00:29.815241,80460.0,Electronics,Bangalore,0,0
afb1c9bb-3374-4bd8-bb97-de39a3de2ec1,ACC01171,2026-06-20 17:54:06.815241,79100.17,Dining,Hyderabad,0,0
e26074f7-cd4c-4c5a-a79e-22dc6f0dd1e0,ACC01104,2026-06-20 14:15:55.815241,78579.6,Online Retail,Hyderabad,0,0
349bf73a-27a3-41ff-abf8-106da63f50af,ACC00286,2026-06-20 13:42:30.815241,78383.14,ATM Withdrawal,Bangalore,0,0
86899a05-28aa-4964-a2ca-bd0cdf652d96,ACC00958,2026-06-20 09:52:57.815241,75536.12,Dining,Mumbai,0,0
bdd4c1f2-71b8-4ce0-a347-2e25ba5498fd,ACC00942,2026-06-20 13:56:34.815241,75376.97,ATM Withdrawal,Delhi,0,0
c09cb506-48f1-496d-9c4f-fb4671b701aa,ACC01018,2026-06-20 13:49:13.815241,74924.3,Healthcare,Mumbai,0,0
bbbfec28-5e25-430a-8b89-19fad47aaf73,ACC01498,2026-06-20 21:56:01.815241,74160.66,Healthcare,Pune,0,0
e63c112e-8373-45c7-9112-d66c4f0b104d,ACC01806,2026-06-20 16:26:22.815241,73280.87,Utilities,Mumbai,0,0
e34ff5cf-0e18-4ac0-be9f-36a6a0fa86d0,ACC01127,2026-06-20 09:56:21.815241,72974.13,Entertainment,Kolkata,0,0
7e025677-bfb2-409c-8cbd-7bae95cad99a,ACC01351,2026-06-20 08:53:22.815241,71955.0,Travel,Bangalore,0,0
f75592e6-cf7d-4888-962d-9ae00ec10f5d,ACC00963,2026-06-20 19:13:44.815241,71221.82,Entertainment,Kolkata,0,0
be2eaf0a-22ff-490b-b79a-1afefa37efd0,ACC00818,2026-06-20 14:04:42.815241,70388.96,Fuel,Chennai,0,0
537959b8-c573-4901-9360-cf2cb0d734a6,ACC00793,2026-06-20 17:42:59.815241,69267.91,Travel,Hyderabad,0,0
e393af22-e054-45ab-b5fc-c0fc1065cf9a,ACC01152,2026-06-20 20:15:26.815241,69169.71,Utilities,Pune,0,0
